Design Study 1
Scenarios/Iterations:, 41
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
CSB OD,,N/A,0.000000,0.000000,0.000000,0.000000,0.018000,0.000000,0.018000,0.000000,0.018000,0.018000,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018000,0.018000,0.000000,0.000000,0.000000,0.018000,0.018000,0.018000,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.018000,0.018000,0.000000,0.000000,0.000000,0.000000,0.018000,0.018000,0.000000,0.018000,0.018000,0.000000
Material,,N/A,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials,6061-T6 (SS)@SOLIDWORKS Materials
SSB Offset,,N/A,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000
CSB Offset,,N/A,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.300000,0.300000,0.350000,0.350000,0.350000,0.350000,0.350000,0.300000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.300000,0.300000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000
SS Z,,N/A,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000
SS Thickness,,N/A,0.006406,0.007902,0.001725,0.002172,0.001297,0.000896,0.004858,0.003027,0.005432,0.009740,0.006244,0.000892,0.000769,0.002340,0.000803,0.006732,0.009694,0.008390,0.001105,0.000735,0.002145,0.000989,0.002084,0.000788,0.007070,0.000570,0.003135,0.002613,0.000540,0.000881,0.001777,0.004977,0.001022,0.000926,0.003462,0.005025,0.000785,0.004047,0.005963,0.000921,0.004616,0.003999
CS Thickness,,N/A,0.004272,0.004934,0.001505,0.004812,0.009086,0.009319,0.000615,0.009281,0.009539,0.008766,0.002420,0.002955,0.002017,0.000691,0.001547,0.001077,0.008050,0.000639,0.003358,0.000680,0.004663,0.002077,0.002289,0.001741,0.005080,0.003338,0.003597,0.001316,0.000552,0.001318,0.000501,0.002965,0.009100,0.002395,0.003467,0.001660,0.003589,0.001967,0.003110,0.001933,0.001099,0.006415
TT Thickness,,N/A,0.005414,0.003803,0.002799,0.003085,0.000754,0.000617,0.003516,0.001153,0.004108,0.001213,0.006392,0.004901,0.009126,0.002381,0.005223,0.000747,0.006676,0.000654,0.005554,0.000636,0.003573,0.009848,0.000744,0.001139,0.001094,0.007312,0.003423,0.000959,0.008532,0.001109,0.002855,0.002156,0.004303,0.000695,0.003467,0.001675,0.001312,0.005624,0.001880,0.001861,0.001269,0.004100
BB Thickness,,m,0.008048,0.009473,0.001973,0.00085155,0.00053598,0.002947,0.00292,0.00097849,0.00070692,0.001489,0.002434,0.007371,0.005212,0.005932,0.001168,0.00098784,0.00062518,0.001708,0.004473,0.001223,0.001416,0.00086473,0.00056207,0.005095,0.00254,0.00063,0.002585,0.00067632,0.00082277,0.009648,0.001482,0.0009283,0.001418,0.00063649,0.00056931,0.005265,0.00056578,0.00071603,0.001049,0.003259,0.003307,0.00093717
HT Thickness,,m,0.006722,0.007175,0.006952,0.006524,0.002199,0.003061,0.006993,0.003473,0.008776,0.002935,0.00055716,0.001512,0.007201,0.001762,0.004756,0.00079207,0.00053853,0.002427,0.005028,0.008396,0.001494,0.001424,0.008101,0.001549,0.001338,0.00077772,0.005611,0.00092356,0.00067139,0.005289,0.00137,0.003181,0.00080491,0.005339,0.006745,0.002192,0.009234,0.006548,0.001259,0.009247,0.00051221,0.00306
ST Thickness,,N/A,0.000521,0.002474,0.000892,0.005941,0.000506,0.001041,0.004562,0.002781,0.003127,0.000922,0.003498,0.003292,0.001167,0.000607,0.007081,0.002886,0.001403,0.001966,0.008514,0.001254,0.006267,0.006042,0.000744,0.001890,0.000868,0.003956,0.000629,0.000603,0.002390,0.002345,0.009227,0.000737,0.009126,0.003758,0.005713,0.000906,0.007350,0.000627,0.001327,0.001159,0.000546,0.009578
DT Thickness,,m,0.001022,0.0032,0.002695,0.001015,0.002199,0.005921,0.00053285,0.004546,0.00055696,0.001734,0.00072924,0.006762,0.004354,0.001143,0.00075751,0.002613,0.00076839,0.002543,0.0005255,0.005575,0.007691,0.00058514,0.001433,0.00081379,0.003493,0.002448,0.004091,0.006912,0.001471,0.00077601,0.002039,0.00154,0.0005407,0.002168,0.001227,0.002583,0.004522,0.00068428,0.00064634,0.00054467,0.00171,0.00091683
DT Length,,N/A,0.576384,0.609851,0.631439,0.639193,0.630122,0.595163,0.612368,0.741053,0.636498,0.686557,0.667707,0.695311,0.695311,0.642818,0.643082,0.643082,0.685707,0.675598,0.647099,0.698463,0.640882,0.643533,0.682729,0.653365,0.660132,0.643176,0.649796,0.751094,0.655544,0.615927,0.678577,0.678577,0.685759,0.695578,0.663619,0.647806,0.640651,0.636152,0.626250,0.684140,0.644308,0.624939
Min FS 1,Monitor Only,,2.204e-01,9.551e-01,8.712e-01,5.409e-01,1.715e-01,8.828e-01,6.453e-01,2.466e-01,5.093e-01,1.459e-01,2.799e-01,4.486e+00,2.624e+00,6.002e-01,6.593e-01,7.281e-01,1.674e-01,3.356e-01,3.571e-01,2.027e-01,1.186e+00,2.203e-01,1.615e-01,1.413e-01,2.603e-01,6.925e-01,8.242e-01,2.525e-01,3.869e-01,5.002e-01,2.847e-01,1.781e-01,2.124e-01,2.500e-01,2.486e-01,2.416e-01,9.013e-01,5.890e-01,1.718e-01,1.432e-01,1.277e-01,4.335e-01
Max Stress 1,Monitor Only, N/m^2,1.248e+09,2.879e+08,3.157e+08,5.084e+08,1.603e+09,3.115e+08,4.261e+08,1.115e+09,5.399e+08,1.884e+09,9.825e+08,6.130e+07,1.048e+08,4.582e+08,4.171e+08,3.777e+08,1.643e+09,8.195e+08,7.702e+08,1.357e+09,2.319e+08,1.248e+09,1.702e+09,1.946e+09,1.057e+09,3.971e+08,3.337e+08,1.089e+09,7.107e+08,5.498e+08,9.659e+08,1.544e+09,1.295e+09,1.100e+09,1.106e+09,1.138e+09,3.051e+08,4.669e+08,1.601e+09,1.921e+09,2.153e+09,6.343e+08
Min FS 3,Monitor Only,,3.371e-01,8.459e-01,7.125e-01,3.832e-01,4.605e-01,1.000e+00,5.961e-01,6.730e-01,3.587e-01,3.457e-01,7.263e-01,3.406e+00,3.507e+00,4.922e-01,3.937e-01,4.883e-01,3.067e-01,6.337e-01,8.445e-01,5.680e-01,9.194e-01,5.572e-01,3.576e-01,4.026e-01,6.827e-01,4.953e-01,7.049e-01,2.935e-01,5.892e-01,3.548e-01,7.795e-01,4.600e-01,4.709e-01,5.849e-01,5.376e-01,6.775e-01,4.958e-01,6.234e-01,4.888e-01,3.139e-01,4.449e-01,4.031e-01
Max Stress 3,Monitor Only, N/m^2,8.157e+08,3.251e+08,3.860e+08,7.176e+08,5.971e+08,2.750e+08,4.614e+08,4.086e+08,7.667e+08,7.955e+08,3.786e+08,8.073e+07,7.842e+07,5.587e+08,6.986e+08,5.632e+08,8.966e+08,4.340e+08,3.257e+08,4.841e+08,2.991e+08,4.935e+08,7.689e+08,6.831e+08,4.028e+08,5.553e+08,3.901e+08,9.368e+08,4.668e+08,7.751e+08,3.528e+08,5.978e+08,5.840e+08,4.701e+08,5.115e+08,4.059e+08,5.547e+08,4.411e+08,5.626e+08,8.760e+08,6.182e+08,6.822e+08
Mass,Monitor Only, kg,2.78,2.62,1.64,2.41,1.69,2.2,1.94,2.78,2.69,2.13,2.26,4.85,5,1.16,2.11,1.61,2.76,1.75,3.19,1.84,3.02,2.17,1.62,1.19,2.21,2.27,2.27,2.59,1.99,1.35,2.38,1.88,2.52,1.84,2.61,2.07,3,1.8,1.39,1.81,1.21,2.06
Dropout X Displacement,Monitor Only, m,-7.396e-03,-8.557e-03,-1.133e-02,-1.521e-02,5.875e-02,-5.129e-03,-1.491e-02,4.976e-02,-1.914e-02,5.462e-02,3.780e-02,-1.054e-03,-1.025e-03,-1.877e-02,-1.438e-02,-1.375e-02,6.525e-02,2.530e-02,2.229e-02,4.321e-02,-6.570e-03,4.358e-02,6.409e-02,7.012e-02,2.972e-02,-8.536e-03,-8.892e-03,1.601e-02,2.334e-02,-1.892e-02,3.098e-02,4.482e-02,5.931e-02,4.232e-02,3.173e-02,3.929e-02,-8.987e-03,-1.952e-02,6.737e-02,4.541e-02,6.033e-02,-1.348e-02
Dropout Y Displacement,Monitor Only, m,1.504e-02,1.483e-02,2.118e-02,3.079e-02,-1.194e-01,8.877e-03,2.550e-02,-8.427e-02,3.245e-02,-1.054e-01,-7.265e-02,2.731e-03,2.865e-03,3.435e-02,2.866e-02,2.782e-02,-1.514e-01,-4.841e-02,-4.149e-02,-8.642e-02,1.358e-02,-8.699e-02,-1.592e-01,-1.473e-01,-6.782e-02,1.850e-02,1.792e-02,-4.411e-02,-4.628e-02,3.741e-02,-6.252e-02,-9.139e-02,-1.051e-01,-8.161e-02,-6.245e-02,-7.490e-02,1.664e-02,3.210e-02,-1.107e-01,-8.667e-02,-1.204e-01,2.255e-02
BB X Displacement,Monitor Only, m,-5.920e-03,-9.039e-03,-1.196e-02,-1.610e-02,6.965e-02,-4.795e-03,-1.594e-02,5.682e-02,-2.063e-02,6.583e-02,4.391e-02,-1.218e-03,-1.238e-03,-1.979e-02,-1.534e-02,-1.471e-02,8.026e-02,3.017e-02,2.545e-02,5.100e-02,-7.077e-03,5.249e-02,7.847e-02,8.302e-02,3.590e-02,-9.622e-03,-9.329e-03,2.179e-02,2.860e-02,-2.001e-02,3.762e-02,5.416e-02,6.916e-02,5.039e-02,3.876e-02,4.525e-02,-9.275e-03,-2.008e-02,7.805e-02,5.416e-02,7.258e-02,-1.339e-02
BB Y Displacement,Monitor Only, m,8.097e-03,7.992e-03,1.197e-02,1.850e-02,-6.233e-02,3.927e-03,1.391e-02,-4.472e-02,1.705e-02,-6.147e-02,-4.395e-02,1.261e-03,1.282e-03,1.935e-02,1.686e-02,1.653e-02,-8.484e-02,-2.620e-02,-2.325e-02,-4.831e-02,7.818e-03,-4.321e-02,-9.212e-02,-7.737e-02,-3.689e-02,1.074e-02,1.056e-02,-2.322e-02,-2.439e-02,2.224e-02,-3.412e-02,-4.915e-02,-5.703e-02,-4.167e-02,-3.391e-02,-4.031e-02,9.401e-03,1.642e-02,-5.465e-02,-4.663e-02,-6.139e-02,1.216e-02
BB Z Displacement,Monitor Only, m,6.245e-04,1.380e-03,2.664e-03,2.626e-03,2.423e-03,1.336e-03,5.793e-03,3.411e-03,3.626e-03,2.663e-03,3.576e-03,5.547e-04,7.563e-04,4.370e-03,3.973e-03,3.558e-03,3.738e-03,3.045e-03,2.269e-03,4.746e-03,1.599e-03,4.158e-03,3.717e-03,3.637e-03,1.639e-03,2.573e-03,1.712e-03,2.777e-03,4.986e-03,3.143e-03,3.953e-03,2.267e-03,3.717e-03,3.808e-03,3.220e-03,1.890e-03,2.450e-03,5.315e-03,4.795e-03,2.658e-03,4.115e-03,2.977e-03
BBR Y Displacement,Monitor Only, m,-1.434e-02,-8.712e-03,-1.393e-02,-2.439e-02,-2.267e-02,-4.316e-03,-1.578e-02,-1.647e-02,-1.650e-02,-2.378e-02,-1.743e-02,-1.455e-03,-1.525e-03,-2.307e-02,-2.204e-02,-2.116e-02,-3.184e-02,-9.886e-03,-8.791e-03,-1.854e-02,-9.399e-03,-1.549e-02,-3.527e-02,-2.765e-02,-1.369e-02,-1.379e-02,-1.382e-02,-8.894e-03,-1.070e-02,-3.118e-02,-1.285e-02,-1.812e-02,-2.113e-02,-1.707e-02,-1.274e-02,-1.607e-02,-1.117e-02,-1.574e-02,-1.959e-02,-1.717e-02,-2.223e-02,-1.397e-02
BBL Y Displacement,Monitor Only, m,-1.386e-02,-8.029e-03,-1.276e-02,-2.324e-02,-2.156e-02,-3.721e-03,-1.432e-02,-1.546e-02,-1.499e-02,-2.276e-02,-1.633e-02,-1.302e-03,-1.297e-03,-2.102e-02,-2.050e-02,-1.986e-02,-3.046e-02,-9.081e-03,-8.164e-03,-1.718e-02,-8.757e-03,-1.414e-02,-3.395e-02,-2.627e-02,-1.297e-02,-1.254e-02,-1.295e-02,-8.321e-03,-8.683e-03,-2.960e-02,-1.189e-02,-1.726e-02,-1.999e-02,-1.572e-02,-1.170e-02,-1.525e-02,-9.892e-03,-1.366e-02,-1.781e-02,-1.619e-02,-2.060e-02,-1.252e-02
