,SSB_Include,CSB_Include,Material,CS Length,BB Drop,Stack,SS E,ST Angle,BB OD,TT OD,HT OD,DT OD,CS OD,SS OD,ST OD,CS F,HT LX,ST UX,HT UX,HT Angle,HT Length,ST Length,BB Length,Dropout Offset,SSB OD,CSB OD,SSB Offset,CSB Offset,SS Z,SS Thickness,CS Thickness,TT Thickness,BB Thickness,HT Thickness,ST Thickness,DT Thickness,DT Length,Sim 1 Dropout X Disp.,Sim 1 Dropout Y Disp.,Sim 1 Bottom Bracket X Disp.,Sim 1 Bottom Bracket Y Disp.,Sim 2 Bottom Bracket Z Disp.,Sim 3 Bottom Bracket Y Disp.,Sim 3 Bottom Bracket X Rot.,Sim 1 Safety Factor,Sim 3 Safety Factor,Model Mass,batch
3997,0,0,Steel,0.37,0.035,0.536,0.065,74.0000202554444,0.04,0.0286,0.0413,0.0365,0.02335,0.013,0.0272,0.015,0.0493,0.0643,0.0342,74.0,0.12,0.5093,0.068,0.135,0.015848936170212168,0.01775912247474788,0.33,0.35,0.009,0.005998,0.006851,0.005235,0.00066845,0.00212,0.003365,0.00193,0.617741,-0.003553,0.006753,-0.003926,0.0037530000000000003,0.0008033999999999999,-0.0039334999999999995,0.002878571428571426,1.3719999999999999,1.048,6.2,1_19
3998,1,0,Steel,0.408,0.07,0.5902,0.029,72.99997971982306,0.04,0.0286,0.038,0.0365,0.02335,0.013,0.0286,0.015,0.0375,0.0356,0.0285,73.5,0.1705,0.62,0.068,0.142,0.016,0.01775912247474788,0.36,0.35,0.009,0.0008289999999999999,0.00476,0.001295,0.009904999999999999,0.0014730000000000001,0.001119,0.00852,0.6516350000000001,0.008664,-0.01728,0.01023,-0.009599,0.0005037,-0.003408,0.0016000000000000016,0.4957,1.35,7.53,2_6
3999,1,1,Steel,0.385,0.065,0.5664,0.045,76.18407807470356,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0463,0.0499,0.0291,72.0,0.161,0.5059,0.068,0.12,0.016,0.018,0.33,0.35,0.009,0.001175,0.004566,0.000596,0.00061005,0.009884,0.006639,0.004898,0.6588390000000001,0.01167,-0.02304,0.013890000000000001,-0.01317,0.0006632999999999999,-0.0049035,0.0023785714285714282,0.385,0.9361,8.34,2_6
4000,1,1,Steel,0.555,0.025,0.5656,0.011,64.99999920952942,0.043,0.0286,0.034,0.0365,0.025,0.01525,0.029,0.0075,0.0412,0.0238,0.0395,66.0,0.135,0.5588,0.068,0.11,0.016,0.015,0.33,0.3875,0.00075,0.005661,0.002669,0.005308,0.006253,0.002015,0.008909,0.00088845,0.656917,-0.007638,0.01622,-0.007881,0.0077659999999999995,0.001534,-0.006417,0.0024857142857142808,0.8326,0.9835,8.89,2_6
4001,1,1,Steel,0.515,0.025,0.5656,0.011,64.99999920952942,0.043,0.0286,0.034,0.0365,0.025,0.01525,0.029,0.0075,0.0419,0.0241,0.0384,67.0,0.1347,0.5491,0.068,0.11,0.016,0.015,0.33,0.3875,0.00075,0.000503,0.002048,0.003271,0.003271,0.00247,0.0044340000000000004,0.0044859999999999995,0.657048,-0.00419,0.008942,-0.004334,0.004436,0.0009277999999999999,-0.0038495000000000005,0.001992857142857144,1.242,1.3159999999999998,7.15,2_6
4002,1,1,Steel,0.515,0.025,0.5656,0.011,64.99999920952942,0.043,0.0286,0.034,0.0365,0.025,0.01525,0.029,0.0075,0.0419,0.0241,0.0384,67.0,0.1347,0.5491,0.068,0.11,0.016,0.015,0.33,0.3875,0.00075,0.005028,0.003418,0.0019260000000000002,0.0005348,0.007529000000000001,0.0035189999999999996,0.00067583,0.657048,-0.012759999999999999,0.0262,-0.01299,0.013369999999999998,0.001924,-0.0116,0.004571428571428571,0.5049,0.4559,6.55,2_6
4003,1,1,Titanium,0.405,0.069,0.564,0.045,73.25001850161814,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0496,0.0474,0.0319,73.5,0.1426,0.5774,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.004797999999999999,0.0008789999999999999,0.000656,0.0036450000000000002,0.00069183,0.000516,0.008076999999999999,0.6587729999999999,0.020880000000000003,-0.04155,0.02515,-0.022,0.001743,-0.007814499999999999,0.004421428571428569,0.7732,2.146,3.38,2_6
4004,1,1,Titanium,0.405,0.069,0.564,0.045,73.25001850161814,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0496,0.0474,0.0319,73.5,0.1426,0.5774,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.003003,0.004437,0.002117,0.002164,0.001439,0.000717,0.00060516,0.6587729999999999,0.05877,-0.1149,0.06984,-0.062,0.002317,-0.02221,0.006428571428571439,0.4142,1.168,2.51,2_6
4005,1,1,Titanium,0.405,0.069,0.564,0.045,73.25001850161814,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0495,0.0482,0.0303,73.5,0.1741,0.5782,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.001768,0.005526,0.0070030000000000005,0.001842,0.006267,0.001426,0.006802,0.6594939999999999,0.01567,-0.033460000000000004,0.01889,-0.01898,0.0011,-0.007037,0.003185714285714281,0.9398,2.339,5.5,2_6
4006,0,1,Titanium,0.415,0.07,0.58,0.13,72.50001674779189,0.04,0.02795,0.05,0.04325,0.0285,0.0115,0.0318,0.015,0.052,0.015,0.0208,72.5,0.1499,0.51,0.068,0.13,0.015848936170212168,0.018,0.33,0.35,0.009,0.006476000000000001,0.002914,0.002094,0.005863,0.00076754,0.004599,0.00609,0.669632,0.01146,-0.022930000000000002,0.0137,-0.01199,0.0006701000000000001,-0.0042445,0.001992857142857147,1.238,3.392,4.57,1_19
4007,1,1,Titanium,0.405,0.071,0.573,0.1,73.49999998763374,0.04,0.0317,0.05,0.03948,0.031,0.0115,0.0318,0.015,0.045,0.01,0.028,72.5,0.1703,0.51,0.068,0.13,0.015,0.018,0.33,0.35,0.009,0.007804000000000001,0.0018800000000000002,0.0018149999999999998,0.006742000000000001,0.00074378,0.00151,0.0007886,0.648968,0.032310000000000005,-0.0631,0.037689999999999994,-0.03646,0.001349,-0.0144,0.0040000000000000105,0.5771,1.545,2.49,2_6
4008,1,1,Aluminum,0.405,0.069,0.584,0.045,73.2,0.04,0.03125,0.045,0.04198,0.027,0.0115,0.0318,0.015,0.0638,0.0328,0.0363,73.2,0.1722,0.6,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.001016,0.001031,0.005984000000000001,0.0066099999999999996,0.0015810000000000002,0.002838,0.00053246,0.669094,0.04161,-0.08002999999999999,0.04856,-0.04456,0.003653,-0.01603,0.008000000000000007,0.2368,0.6711,1.93,3_5
4009,1,1,Steel,0.42,0.07,0.55,0.045,75.00000349528622,0.04,0.0286,0.032,0.0365,0.0175,0.0115,0.028,0.015,0.0374,0.0197,0.0287,75.0,0.1013,0.5397,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.0006900000000000001,0.005799,0.0008119999999999999,0.001155,0.001732,0.001227,0.002114,0.648563,0.02164,-0.04162,0.02617,-0.02068,0.001639,-0.007119,0.003914285714285713,0.2719,0.7908,3.75,2_6
4010,1,1,Steel,0.42,0.073,0.625,0.075,71.49997621217057,0.04,0.0286,0.05,0.0365,0.02335,0.013,0.0318,0.015,0.05,0.0491,0.025,67.5,0.1045,0.4691,0.086,0.148,0.016,0.018,0.33,0.35,0.009,0.001853,0.001422,0.002386,0.004922999999999999,0.00076251,0.009719,0.0008276,0.752542,0.03083,-0.05256,0.0357,-0.0284,0.0017289999999999999,-0.0100685,0.0037357142857142793,0.2745,0.7759,5.94,2_6
4011,1,1,Steel,0.415,0.066,0.5621,0.045,72.50001674779189,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0495,0.0482,0.0305,72.5,0.135,0.54,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.001599,0.0006900000000000001,0.009484000000000001,0.006053,0.0041259999999999995,0.009787,0.003686,0.6593479999999999,0.0087,-0.01693,0.01024,-0.008986,0.0010869999999999999,-0.0031434999999999996,0.0019357142857142854,0.5087,1.443,9.34,2_6
4012,1,1,Steel,0.415,0.066,0.5621,0.045,72.50001674779189,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0483,0.0481,0.0305,72.5,0.16699999999999998,0.57,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.004905,0.00065,0.000936,0.001097,0.00828,0.000588,0.0017670000000000001,0.672171,0.024909999999999998,-0.05387,0.029930000000000002,-0.030489999999999996,0.0019329999999999998,-0.01129,0.00471428571428572,0.218,0.5947,4.54,2_6
4013,1,1,Titanium,0.409,0.072,0.6082,0.055,72.99997971982306,0.04,0.0286,0.040999999999999995,0.04405,0.02335,0.013,0.0318,0.015,0.0465,0.0484,0.0346,73.0,0.1688,0.535,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.001721,0.003135,0.00243,0.004389,0.002069,0.0034630000000000004,0.00068079,0.647774,0.03127,-0.05466,0.03659,-0.02939,0.0019010000000000001,-0.01043,0.004285714285714284,0.5915,1.683,2.93,3_2
4014,1,1,Steel,0.403,0.07,0.5289,0.025,74.49998322747555,0.04,0.0286,0.0302,0.0365,0.0185,0.0125,0.0286,0.015,0.0428,0.0212,0.0282,75.0,0.1001,0.5412,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.005093,0.001738,0.000968,0.004734,0.004693,0.00322,0.005056000000000001,0.645496,0.01179,-0.023540000000000002,0.01425,-0.01211,0.001024,-0.0041814999999999995,0.0022642857142857174,0.3915,1.112,6.13,2_6
4015,1,1,Titanium,0.405,0.073,0.5656,0.045,74.0000202554444,0.04,0.0286,0.045,0.0365,0.02335,0.013,0.0318,0.015,0.0469,0.0304,0.0271,73.0,0.1606,0.4604,0.068,0.142,0.016,0.018,0.33,0.35,0.009,0.000731,0.0015890000000000001,0.004111999999999999,0.008001000000000001,0.002074,0.008695999999999999,0.001979,0.641829,0.01914,-0.03727,0.02254,-0.02108,0.0017690000000000002,-0.0076335,0.00409285714285714,0.8424,2.3080000000000003,3.72,3_2
4016,1,1,Steel,0.42,0.07,0.55,0.045,75.00000349528622,0.04,0.0286,0.032,0.0365,0.0175,0.0115,0.028,0.015,0.0374,0.0197,0.0287,75.0,0.1013,0.5397,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.005778,0.001222,0.001053,0.001558,0.00251,0.0043,0.007719,0.648563,0.01006,-0.019469999999999998,0.012209999999999999,-0.009623,0.0012779999999999998,-0.0032975,0.002492857142857142,0.1696,0.09536,6.79,2_6
4017,1,1,Steel,0.44,0.07,0.55,0.045,75.00000349528622,0.04,0.0286,0.032,0.0365,0.0175,0.0115,0.028,0.015,0.0445,0.0448,0.0307,75.0,0.122,0.5798,0.068,0.13,0.016,0.018,0.33,0.35,0.009,0.00179,0.002484,0.005378,0.00314,0.007122,0.00067,0.006189,0.657289,0.009798000000000001,-0.02046,0.01188,-0.01031,0.001103,-0.003551,0.0025571428571428555,0.472,1.3530000000000002,7.09,2_6
