Design Study 1
Scenarios/Iterations:, 50
Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
Material,,N/A,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,AISI 4130 Steel, annealed at 865C@SOLIDWORKS Materials,Ti-6Al-4VSolution treated and aged (SS)@SOLIDWORKS Materials
SSB Offset,,N/A,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.370000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000
CSB Offset,,N/A,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000
SS Z,,N/A,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.012300,0.010600,0.012300,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.012300,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.012300,0.009000,0.009000,0.009000,0.009000,0.009000,0.008000,0.009000,0.009000,0.009000,0.009000
SS Thickness,,N/A,0.006336,0.005595,0.004200,0.007151,0.003144,0.002826,0.006816,0.002692,0.003342,0.005842,0.005893,0.001067,0.009480,0.008508,0.008844,0.003585,0.000518,0.004294,0.004746,0.004392,0.000958,0.005117,0.000587,0.000501,0.001501,0.001443,0.000628,0.002950,0.001351,0.005928,0.001315,0.003779,0.005091,0.003805,0.007185,0.006214,0.009819,0.002366,0.001173,0.001788,0.006140,0.000647,0.004170,0.002904,0.003007,0.000943,0.007014,0.001465,0.001117,0.008760,0.006350
CS Thickness,,N/A,0.000582,0.001190,0.001980,0.003084,0.003266,0.000762,0.001138,0.003920,0.003194,0.002857,0.001420,0.002321,0.000535,0.005542,0.009268,0.001223,0.000744,0.007442,0.002126,0.001575,0.001492,0.001937,0.007382,0.004170,0.003380,0.006006,0.007507,0.002345,0.006742,0.007264,0.000693,0.003289,0.002390,0.000574,0.002309,0.003232,0.001349,0.004355,0.001226,0.002051,0.004191,0.001069,0.008715,0.003048,0.008968,0.000674,0.000818,0.001216,0.001451,0.001204,0.002098
TT Thickness,,N/A,0.002210,0.001258,0.001208,0.002121,0.005949,0.000632,0.003979,0.002960,0.004537,0.000542,0.008915,0.002139,0.000888,0.000860,0.005941,0.002649,0.004011,0.000983,0.001479,0.002129,0.000775,0.003864,0.005690,0.001279,0.000872,0.008142,0.000852,0.002628,0.001548,0.005816,0.001576,0.001202,0.004880,0.000719,0.008077,0.001267,0.005842,0.000753,0.008329,0.000923,0.000905,0.003365,0.001597,0.002469,0.003395,0.002523,0.000523,0.004954,0.004774,0.000609,0.001001
BB Thickness,,m,0.002262,0.005628,0.002168,0.001353,0.005021,0.001009,0.008268,0.001889,0.002576,0.001991,0.00078285,0.002352,0.001537,0.002189,0.00164,0.001991,0.001046,0.001674,0.00344,0.009733,0.00052129,0.002642,0.007014,0.008366,0.004809,0.003197,0.003085,0.002564,0.00060605,0.003245,0.001741,0.002099,0.00099509,0.00061678,0.00068779,0.00526,0.007816,0.00278,0.001862,0.009585,0.00082518,0.003033,0.00887,0.00060362,0.003481,0.002766,0.00735,0.002622,0.008359,0.001066,0.004576
HT Thickness,,m,0.005636,0.006887,0.00061453,0.00092255,0.00070925,0.005442,0.00081499,0.005244,0.001599,0.003165,0.006406,0.001057,0.001548,0.002803,0.008639,0.00070485,0.009397,0.00081023,0.00095656,0.00090616,0.006732,0.00085905,0.00071707,0.00549,0.003331,0.001023,0.002072,0.001287,0.003142,0.005099,0.00475,0.001725,0.00070563,0.00099219,0.003458,0.002973,0.00057244,0.00074297,0.004876,0.006767,0.003805,0.00074161,0.00203,0.005659,0.002047,0.0008698,0.007804,0.005004,0.007024,0.00089562,0.003042
ST Thickness,,m,0.00084658,0.005915,0.001825,0.002188,0.007902,0.001336,0.00076867,0.009177,0.003073,0.003707,0.001999,0.001223,0.00062495,0.001725,0.001759,0.001712,0.004629,0.00053794,0.002011,0.004973,0.003953,0.008614,0.008323,0.001684,0.00079439,0.003642,0.00077544,0.00852,0.00099219,0.007725,0.001581,0.002028,0.00066943,0.00551,0.00061904,0.005325,0.002762,0.00087331,0.002445,0.001103,0.001707,0.001263,0.002007,0.00086821,0.006557,0.002628,0.001221,0.001783,0.00084968,0.004582,0.006782
DT Thickness,,m,0.0006245,0.005324,0.005744,0.00082428,0.00077885,0.00076195,0.007185,0.004577,0.002751,0.002335,0.00819,0.008001,0.004136,0.006983,0.004984,0.001006,0.007612,0.002243,0.006221,0.001214,0.00065586,0.002551,0.002691,0.006171,0.001176,0.004739,0.004869,0.008876,0.00532,0.00385,0.009473,0.001948,0.008433,0.002304,0.001616,0.001827,0.004489,0.007934,0.006235,0.004934,0.003307,0.00429,0.007708,0.006097,0.001114,0.006068,0.00076028,0.006352,0.001228,0.002154,0.00128
