Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100,Scenario 101,Scenario 102,Scenario 103,Scenario 104,Scenario 105,Scenario 106,Scenario 107,Scenario 108,Scenario 109,Scenario 110,Scenario 111,Scenario 112,Scenario 113,Scenario 114,Scenario 115,Scenario 116,Scenario 117,Scenario 118,Scenario 119,Scenario 120,Scenario 121,Scenario 122,Scenario 123
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
SSB Offset,,N/A,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000,0.330000
CSB Offset,,N/A,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000,0.350000
SS Z,,N/A,0.011200,0.012300,0.011200,0.011200,0.009000,0.009000,0.011200,0.011200,0.009000,0.011200,0.007000,0.009000,0.009000,0.009000,0.012000,0.009000,0.009000,0.009000,0.010600,0.009000,0.010600,0.007000,0.009000,0.009000,0.009000,0.007000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.008000,0.009000,0.009000,0.014300,0.009000,0.008000,0.009000,0.009000,0.009000,0.010600,0.009000,0.007000,0.009000,0.011200,0.009000,0.011200,0.009000,0.009000,0.009000,0.010000,0.009000,0.010000,0.009000,0.009000,0.010000,0.009000,0.008000,0.011200,0.009000,0.009000,0.009000,0.009000,0.009000,0.003000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.011200,0.009000,0.012300,0.009000,0.009000,0.011200,0.009000,0.009000,0.009000,0.007000,0.009000,0.009000,0.009000,0.009000,0.009000,0.011200,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.008000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.011200,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000
SS Thickness,,N/A,0.000510,0.000565,0.000510,0.003045,0.002795,0.005132,0.006978,0.001237,0.000716,0.002869,0.002196,0.000840,0.008274,0.008941,0.004499,0.005930,0.005289,0.001930,0.001261,0.001083,0.008652,0.008378,0.000994,0.002259,0.001342,0.001543,0.001466,0.002230,0.004067,0.000664,0.002299,0.000835,0.000568,0.002653,0.000755,0.003249,0.000518,0.002392,0.000755,0.000736,0.003979,0.000771,0.001159,0.002100,0.000880,0.005265,0.003801,0.003778,0.004988,0.001065,0.002308,0.003610,0.004869,0.001331,0.000611,0.002313,0.001358,0.001846,0.009349,0.004763,0.006443,0.001114,0.000930,0.006167,0.002675,0.000950,0.000778,0.005370,0.001692,0.000863,0.009913,0.005400,0.001693,0.001280,0.002512,0.001229,0.009754,0.005607,0.001255,0.001357,0.003179,0.003098,0.002771,0.001604,0.000730,0.000898,0.000779,0.001476,0.002506,0.000557,0.001025,0.005727,0.000803,0.003605,0.001671,0.000666,0.004064,0.000567,0.000506,0.006331,0.004657,0.000873,0.006064,0.002324,0.002615,0.000762,0.001056,0.006669,0.000569,0.002887,0.001504,0.002724,0.004020,0.009982,0.008329,0.002634,0.002659,0.001932,0.001040,0.000882,0.001013,0.003463,0.005919,0.000845
CS Thickness,,N/A,0.005320,0.003677,0.005320,0.000858,0.002758,0.002109,0.002704,0.001633,0.009093,0.006462,0.006033,0.004736,0.000729,0.007989,0.005363,0.000572,0.005406,0.001031,0.005566,0.000770,0.009869,0.007259,0.002689,0.004139,0.003943,0.001462,0.001490,0.000717,0.001139,0.009949,0.003493,0.000694,0.007431,0.001159,0.004421,0.002494,0.003876,0.000700,0.002050,0.007908,0.001542,0.002234,0.004316,0.000523,0.001114,0.001196,0.000706,0.001263,0.000748,0.001081,0.007296,0.000747,0.001313,0.001276,0.000578,0.006767,0.008018,0.001590,0.004268,0.004834,0.001552,0.002920,0.001274,0.002264,0.000971,0.001444,0.001018,0.003514,0.003901,0.007646,0.007398,0.002329,0.001796,0.005422,0.001152,0.006308,0.000586,0.008335,0.000548,0.003056,0.002059,0.002813,0.000592,0.001258,0.001954,0.001965,0.005050,0.003428,0.000885,0.000566,0.003807,0.001010,0.006472,0.006500,0.003343,0.001200,0.000897,0.006644,0.005014,0.001905,0.001418,0.003363,0.002834,0.000637,0.000772,0.000919,0.000795,0.006055,0.000654,0.001245,0.001266,0.002360,0.002326,0.009996,0.003108,0.005073,0.002376,0.002441,0.000731,0.007596,0.008305,0.001022,0.003594,0.000735
TT Thickness,,N/A,0.001608,0.002777,0.001608,0.003062,0.004837,0.006336,0.004268,0.004103,0.002638,0.000601,0.001306,0.006037,0.002609,0.000678,0.002884,0.000832,0.007159,0.002062,0.001501,0.002011,0.005021,0.007585,0.002785,0.009146,0.004036,0.002151,0.003994,0.000895,0.000777,0.002142,0.003363,0.005973,0.001194,0.009783,0.002611,0.000644,0.002159,0.002817,0.003007,0.007908,0.000544,0.002695,0.001634,0.000563,0.000946,0.005398,0.001800,0.003930,0.005219,0.001691,0.003207,0.001477,0.003049,0.000816,0.009956,0.000514,0.002569,0.000671,0.008514,0.007562,0.000647,0.000877,0.002234,0.001200,0.005550,0.004225,0.004097,0.002525,0.001776,0.000623,0.000612,0.000628,0.002042,0.000843,0.002123,0.002838,0.004919,0.009370,0.001034,0.005682,0.007816,0.004586,0.007957,0.004164,0.005101,0.001668,0.001002,0.004539,0.001054,0.000571,0.000706,0.007629,0.002135,0.005989,0.001890,0.000837,0.001573,0.006176,0.002427,0.001225,0.001589,0.001419,0.002323,0.001568,0.001940,0.004955,0.009254,0.004948,0.004158,0.001367,0.001825,0.000551,0.003353,0.002455,0.001173,0.006117,0.007747,0.005538,0.001737,0.008341,0.000770,0.000693,0.000558,0.005376
BB Thickness,,m,0.00239,0.001442,0.00239,0.004055,0.003879,0.005132,0.002506,0.001647,0.005611,0.00483,0.001748,0.003135,0.001755,0.00075254,0.00051938,0.001632,0.00077601,0.00066164,0.003069,0.007382,0.005949,0.00055148,0.00304,0.009146,0.001576,0.00052897,0.001528,0.00822,0.004067,0.007222,0.001746,0.002174,0.002299,0.001513,0.009515,0.004082,0.00082699,0.001635,0.00095376,0.0008472,0.001429,0.002264,0.00051976,0.002306,0.00085748,0.003794,0.004903,0.002244,0.001409,0.00117,0.00086346,0.00052665,0.005872,0.001682,0.00073674,0.005339,0.004613,0.00079497,0.002103,0.005231,0.001668,0.003288,0.00273,0.001316,0.00083489,0.006144,0.005028,0.004862,0.00063324,0.007793,0.005686,0.004571,0.006317,0.00092762,0.001026,0.006591,0.001975,0.003351,0.0007155,0.002284,0.005842,0.00057119,0.004517,0.001103,0.001034,0.00064728,0.008042,0.00063556,0.00050737,0.008024,0.001322,0.002481,0.00077036,0.00083979,0.001262,0.00063882,0.002667,0.001663,0.00066992,0.008734,0.002101,0.007518,0.00064492,0.001272,0.00077885,0.002573,0.00054507,0.008883,0.007122,0.003088,0.003836,0.007585,0.003661,0.002278,0.003608,0.006117,0.00277,0.002121,0.005876,0.002712,0.0026,0.005562,0.00115,0.009387
HT Thickness,,m,0.0012,0.008948,0.0012,0.001772,0.005359,0.009655,0.009515,0.00073674,0.001342,0.00084102,0.00256,0.002897,0.001202,0.00339,0.002165,0.001618,0.001219,0.001169,0.001826,0.003817,0.00095586,0.00444,0.001734,0.00082337,0.001422,0.001391,0.002457,0.004798,0.002233,0.001236,0.001946,0.001349,0.00602,0.001618,0.001806,0.00091952,0.00107,0.003887,0.008722,0.005486,0.002566,0.00088391,0.002314,0.002466,0.00238,0.00082037,0.001997,0.005438,0.002671,0.003504,0.002568,0.00634,0.00071446,0.007989,0.005308,0.009613,0.00097564,0.001326,0.003358,0.00078343,0.00065875,0.00347,0.002254,0.00054787,0.007076,0.005744,0.005653,0.002846,0.006664,0.004718,0.0053,0.002142,0.001118,0.00054547,0.003833,0.00104,0.002075,0.008409,0.0007653,0.001779,0.00056002,0.001935,0.00091181,0.00054507,0.00093341,0.001029,0.00074107,0.003764,0.009459,0.001735,0.001139,0.005846,0.005808,0.00096217,0.00194,0.002277,0.00082398,0.0034,0.002927,0.001176,0.002691,0.002805,0.001396,0.004228,0.001558,0.00069386,0.008256,0.00061094,0.00764,0.00054169,0.000701,0.003054,0.007629,0.001414,0.0008989,0.00051184,0.009762,0.001425,0.006973,0.006299,0.00078114,0.00080905,0.007232,0.007716
ST Thickness,,m,0.001776,0.001168,0.001776,0.00514,0.001248,0.00056869,0.001588,0.004519,0.001037,0.00116,0.00061768,0.00097564,0.006831,0.003658,0.00304,0.001815,0.00424,0.003701,0.007055,0.001453,0.003545,0.00087299,0.001048,0.009956,0.003454,0.002925,0.001183,0.002191,0.006708,0.004503,0.002669,0.004547,0.002623,0.005595,0.007618,0.003811,0.008196,0.006581,0.002154,0.00063324,0.005889,0.00393,0.00054547,0.00099001,0.003296,0.003867,0.007565,0.008335,0.00060075,0.00629,0.00051976,0.008954,0.00088197,0.00064918,0.009093,0.00093648,0.008703,0.005402,0.005058,0.001406,0.001369,0.008299,0.004739,0.00065682,0.005069,0.0005096,0.001012,0.005546,0.001766,0.002218,0.001118,0.00078142,0.009971,0.002425,0.004088,0.00075862,0.002914,0.009733,0.002646,0.00054867,0.00902,0.001411,0.002548,0.00139,0.00578,0.002549,0.0032,0.00291,0.00106,0.008178,0.00066334,0.008805,0.005446,0.001343,0.001187,0.006567,0.00085842,0.004476,0.00077092,0.00078515,0.002675,0.00057119,0.006171,0.001432,0.009557,0.004955,0.00069895,0.001219,0.006189,0.002101,0.001119,0.002685,0.0092,0.00080462,0.002863,0.006117,0.001441,0.002385,0.003817,0.003677,0.001177,0.003413,0.00084472,0.00907
DT Thickness,,m,0.00052281,0.00061363,0.00052281,0.0008578,0.00097065,0.00070202,0.00058729,0.001595,0.00095586,0.005219,0.001004,0.00096429,0.00081678,0.00493,0.00057707,0.003057,0.00097635,0.001225,0.00076811,0.001331,0.001544,0.003237,0.002018,0.001846,0.005176,0.004278,0.001834,0.0009657,0.003098,0.001755,0.00053715,0.00080993,0.001129,0.007496,0.00072498,0.001451,0.00080786,0.00706,0.002523,0.006462,0.00070821,0.00086346,0.00089693,0.0016,0.002816,0.00050183,0.0009266,0.001069,0.001248,0.002069,0.00369,0.00094129,0.003634,0.00483,0.00081618,0.004599,0.001204,0.001013,0.00058045,0.009254,0.003901,0.00074052,0.002202,0.001258,0.0009022,0.002075,0.002296,0.002388,0.003078,0.001145,0.00052243,0.004048,0.0005942,0.00054547,0.0008472,0.00075862,0.007607,0.007222,0.00079265,0.00055189,0.00127,0.001825,0.00074188,0.003939,0.004939,0.003395,0.00050367,0.00079381,0.001817,0.004746,0.007267,0.004963,0.000586,0.004155,0.009985,0.004596,0.006313,0.001318,0.009432,0.005076,0.00292,0.002143,0.001185,0.004643,0.003373,0.00063185,0.00939,0.004067,0.00129,0.001151,0.005498,0.001053,0.001553,0.001234,0.00076307,0.006717,0.001919,0.001583,0.002832,0.00057202,0.001691,0.00099874,0.009356,0.008712
DT Length,,N/A,0.684163,0.707433,0.684163,0.673985,0.653639,0.658141,0.701090,0.745232,0.669791,0.720697,0.633785,0.654093,0.656339,0.684298,0.515196,0.653639,0.699250,0.661363,0.633267,0.666963,0.581696,0.664342,0.654093,0.651010,0.607482,0.638610,0.607482,0.696290,0.579669,0.653639,0.682442,0.677858,0.662866,0.656830,0.708724,0.572807,0.649330,0.664244,0.653639,0.698784,0.664206,0.523176,0.587486,0.630675,0.626198,0.628323,0.685590,0.508894,0.638831,0.750637,0.658308,0.627831,0.639401,0.650979,0.602118,0.650979,0.657006,0.648388,0.627497,0.657558,0.686564,0.672719,0.653639,0.657558,0.644601,0.653301,0.666292,0.653853,0.653310,0.669158,0.653315,0.661395,0.667084,0.599031,0.509994,0.594126,0.689458,0.635140,0.581231,0.706623,0.643637,0.641286,0.712723,0.645797,0.613897,0.653639,0.616974,0.639004,0.573821,0.531594,0.586385,0.643969,0.658141,0.684151,0.684151,0.639850,0.662510,0.656744,0.716753,0.638357,0.647208,0.554694,0.577677,0.714075,0.625559,0.656744,0.599764,0.527823,0.662450,0.698158,0.548473,0.716059,0.619106,0.606753,0.721017,0.648080,0.625591,0.626369,0.664043,0.639443,0.607482,0.633803,0.661208,0.559287
Min FS 1,Monitor Only,,1.240e+00,5.140e-01,1.243e+00,2.997e+00,1.792e-01,5.777e-01,3.457e+00,6.464e-01,4.875e-01,5.782e-01,2.113e-01,5.000e-01,3.384e-01,7.208e-01,7.793e-01,3.307e-01,6.627e-01,8.147e-01,5.411e-01,4.769e-01,6.216e-01,5.363e-01,4.644e-01,3.673e-01,1.028e+00,8.146e-01,8.063e-01,1.906e-01,1.183e+00,3.342e-01,5.491e-01,1.181e+00,1.920e-01,1.630e+00,5.252e-01,2.032e-01,1.360e+00,4.342e-01,4.028e-01,9.935e-01,1.490e-01,2.474e+00,7.401e-01,2.029e-01,1.617e+00,2.903e-01,2.382e-01,4.898e-01,4.124e-01,4.898e-01,4.326e-01,8.954e-01,1.786e+00,1.024e+00,4.762e-01,1.100e+00,3.071e-01,7.533e-01,4.213e-01,5.758e-01,8.067e-01,1.566e+00,6.591e-01,2.416e-01,3.496e-01,8.841e-01,1.322e+00,1.097e+00,3.530e-01,2.001e-01,1.502e-01,3.662e-01,Rebuild Error,4.630e-01,8.340e-01,7.479e-01,3.394e+00,6.017e-01,8.189e-01,Simulation Eccentric Stiffness (3) fails.,4.337e-01,3.775e-01,1.874e+00,4.728e-01,7.431e-01,3.773e-01,4.813e-01,7.975e-01,8.076e-01,1.297e+00,1.608e+00,9.379e-01,2.237e-01,9.378e-01,9.329e-01,8.724e-01,4.361e-01,2.805e-01,4.046e-01,8.095e-01,6.311e-01,2.748e+00,1.627e+00,3.860e-01,3.905e-01,2.619e-01,4.555e-01,9.123e-01,3.335e-01,1.663e+00,2.023e+00,1.748e-01,3.777e-01,1.108e+00,1.817e-01,2.978e+00,3.342e-01,2.544e-01,1.054e+00,1.656e-01,1.521e+00,2.225e-01,4.431e-01,1.323e+00
Max Stress 1,Monitor Only, N/m^2,3.710e+08,1.610e+09,3.700e+08,2.760e+08,2.566e+09,1.432e+09,2.393e+08,7.116e+08,1.697e+09,7.956e+08,2.177e+09,1.655e+09,1.359e+09,1.148e+09,1.062e+09,1.391e+09,1.249e+09,5.646e+08,8.501e+08,1.735e+09,7.400e+08,8.577e+08,1.782e+09,1.252e+09,4.476e+08,1.016e+09,5.705e+08,2.413e+09,3.888e+08,1.376e+09,1.507e+09,3.896e+08,2.396e+09,5.075e+08,1.575e+09,2.264e+09,6.083e+08,1.059e+09,1.142e+09,4.630e+08,3.087e+09,3.344e+08,6.215e+08,2.267e+09,5.116e+08,1.585e+09,3.473e+09,1.689e+09,2.006e+09,9.391e+08,1.063e+09,9.240e+08,4.633e+08,4.491e+08,1.737e+09,4.180e+08,1.498e+09,6.107e+08,1.092e+09,7.989e+08,1.026e+09,5.282e+08,1.255e+09,1.904e+09,1.316e+09,5.203e+08,3.481e+08,4.194e+08,1.303e+09,2.299e+09,5.507e+09,1.256e+09,Rebuild Error,9.935e+08,5.516e+08,6.150e+08,2.438e+08,7.644e+08,5.617e+08,Simulation Eccentric Stiffness (3) fails.,1.061e+09,1.219e+09,4.416e+08,9.729e+08,6.190e+08,1.219e+09,9.558e+08,5.768e+08,5.696e+08,3.547e+08,5.147e+08,8.821e+08,2.057e+09,8.823e+08,8.869e+08,5.273e+08,1.055e+09,1.640e+09,1.137e+09,1.022e+09,1.311e+09,3.011e+08,5.084e+08,1.192e+09,1.178e+09,1.757e+09,1.010e+09,5.042e+08,1.379e+09,2.765e+08,4.091e+08,2.631e+09,1.218e+09,4.151e+08,2.532e+09,1.545e+08,1.376e+09,1.808e+09,4.363e+08,2.777e+09,5.439e+08,2.068e+09,1.038e+09,3.478e+08
Min FS 3,Monitor Only,,6.911e-01,1.209e+00,6.905e-01,2.649e+00,4.984e-01,1.555e+00,1.873e+00,1.656e+00,1.280e+00,1.620e+00,5.783e-01,9.893e-01,8.332e-01,1.893e+00,5.398e-01,8.714e-01,1.416e+00,1.719e+00,5.379e-01,1.236e+00,5.724e-01,9.720e-01,9.812e-01,1.072e+00,1.497e+00,1.335e+00,1.059e+00,4.890e-01,1.483e+00,9.352e-01,1.279e+00,6.139e-01,4.972e-01,2.838e+00,1.520e+00,1.461e+00,2.009e+00,1.142e+00,1.089e+00,9.969e-01,3.301e-01,2.459e+00,6.999e-01,5.811e-01,1.615e+00,8.726e-01,5.568e-01,1.360e+00,8.105e-01,1.107e+00,1.002e+00,1.083e+00,2.224e+00,9.088e-01,1.563e+00,1.127e+00,8.995e-01,3.197e-01,1.387e+00,1.670e+00,1.904e+00,9.134e-01,1.841e+00,6.379e-01,1.012e+00,1.137e+00,8.540e-01,9.713e-01,8.175e-01,5.427e-01,3.883e-01,1.017e+00,Rebuild Error,5.428e-01,9.144e-01,8.831e-01,6.398e+00,1.786e+00,6.901e-01,Simulation Eccentric Stiffness (3) fails.,1.280e+00,7.928e-01,1.910e+00,1.288e+00,1.609e+00,7.418e-01,5.910e-01,6.967e-01,4.854e-01,1.832e+00,2.746e+00,2.402e+00,4.148e-01,1.075e+00,1.106e+00,8.770e-01,1.192e+00,7.057e-01,9.357e-01,2.162e+00,1.705e+00,5.017e+00,1.832e+00,7.250e-01,5.198e-01,7.145e-01,5.074e-01,2.313e+00,9.293e-01,1.217e+00,3.296e+00,5.042e-01,1.210e+00,1.157e+00,5.232e-01,2.722e+00,9.873e-01,7.955e-01,1.174e+00,4.672e-01,1.762e+00,6.638e-01,1.080e+00,2.528e+00
Max Stress 3,Monitor Only, N/m^2,6.656e+08,6.845e+08,6.662e+08,3.123e+08,9.230e+08,5.322e+08,4.416e+08,2.778e+08,6.463e+08,2.840e+08,7.954e+08,8.363e+08,5.521e+08,4.370e+08,1.533e+09,5.279e+08,5.845e+08,2.675e+08,8.552e+08,6.694e+08,8.036e+08,4.732e+08,8.433e+08,4.292e+08,3.073e+08,6.197e+08,4.345e+08,9.406e+08,3.101e+08,4.919e+08,6.468e+08,7.493e+08,9.252e+08,2.915e+08,5.445e+08,3.149e+08,4.118e+08,4.028e+08,4.225e+08,4.614e+08,1.393e+09,3.364e+08,6.572e+08,7.915e+08,5.122e+08,5.272e+08,1.486e+09,6.084e+08,1.021e+09,4.155e+08,4.589e+08,7.639e+08,3.719e+08,5.062e+08,5.293e+08,4.082e+08,5.114e+08,1.439e+09,3.316e+08,2.754e+08,4.345e+08,9.058e+08,4.494e+08,7.211e+08,4.544e+08,4.046e+08,5.386e+08,4.736e+08,5.627e+08,8.475e+08,2.131e+09,4.521e+08,Rebuild Error,8.474e+08,5.031e+08,5.209e+08,1.293e+08,2.575e+08,6.666e+08,Simulation Eccentric Stiffness (3) fails.,3.593e+08,5.802e+08,4.332e+08,3.573e+08,2.859e+08,6.201e+08,7.783e+08,6.602e+08,9.476e+08,2.511e+08,3.013e+08,3.444e+08,1.109e+09,7.694e+08,7.484e+08,5.245e+08,3.859e+08,6.518e+08,4.916e+08,3.826e+08,4.852e+08,1.649e+08,4.517e+08,6.344e+08,8.849e+08,6.438e+08,9.066e+08,1.988e+08,4.950e+08,3.779e+08,2.511e+08,9.123e+08,3.803e+08,3.976e+08,8.791e+08,1.690e+08,4.659e+08,5.783e+08,3.917e+08,9.846e+08,4.696e+08,6.929e+08,4.259e+08,1.820e+08
Mass,Monitor Only, kg,4.26,3.28,4.26,2.75,4.64,3.79,4.31,5.72,3.15,8.31,3.52,3.49,3.67,6.36,1.85,4.01,4.1,4.25,3.36,2.44,4.01,10.56,2.89,6.8,5.97,2.59,3.94,4.21,3.62,5.51,3.33,4.59,4.89,7.13,3.01,5.17,2.88,6.31,4.87,9.07,3.46,1.51,3.47,2.29,1.88,4,2.84,3.15,2.85,4.51,6.72,2.8,3.2,5.18,1.97,7.61,5.14,3.24,6.26,9.66,3.1,2.52,2.15,3.76,5.04,5.48,6.22,6.41,5.63,5.36,4.51,5.42,Rebuild Error,3.46,2.29,4.37,6.07,10.66,1.74,Simulation Eccentric Stiffness (3) fails.,5.27,5.04,2.44,4.98,5.88,4.12,3.82,5.49,3.24,3.07,3.25,4.57,5.13,5.38,4.83,4.54,6.13,6.41,8.17,3.58,2.94,2.45,2.13,6.94,3.7,3.8,7.95,5.83,4.27,4.09,2.31,3.75,5.1,4.77,3.93,10.21,5.18,3.98,4.7,6.42,2.51,2.85,8.02,6.23
Dropout X Displacement,Monitor Only, m,-4.473e-03,3.140e-02,-4.473e-03,-4.734e-03,3.360e-02,3.537e-02,-5.335e-03,1.015e-02,3.450e-02,8.397e-03,2.995e-02,2.458e-02,1.789e-02,1.995e-02,5.811e-03,1.604e-02,3.389e-02,5.374e-03,-1.235e-02,2.940e-02,-5.491e-03,9.328e-03,2.295e-02,1.217e-02,-2.686e-03,2.153e-02,-4.192e-03,3.053e-02,-3.445e-03,1.635e-02,3.433e-02,-3.625e-03,2.835e-02,3.223e-03,4.862e-02,2.462e-02,1.144e-02,1.075e-02,1.403e-02,-2.571e-03,2.021e-02,-4.872e-03,-7.044e-03,3.109e-02,-9.331e-03,2.231e-02,4.551e-02,4.249e-02,2.124e-02,1.354e-02,1.230e-02,1.885e-02,-6.110e-03,-3.940e-03,4.224e-02,-3.909e-03,2.027e-02,-5.439e-03,1.404e-02,7.249e-03,2.365e-02,-9.845e-03,3.022e-02,2.588e-02,1.758e-02,-3.980e-03,-2.049e-03,-3.182e-03,1.417e-02,2.902e-02,8.744e-02,1.403e-02,Rebuild Error,-1.234e-02,-3.502e-03,-5.238e-03,-1.417e-03,7.457e-03,-7.305e-03,Simulation Eccentric Stiffness (3) fails.,1.373e-02,1.281e-02,-1.486e-02,1.047e-02,-1.663e-03,1.363e-02,-1.261e-02,-5.712e-03,-4.893e-03,-1.790e-03,-5.233e-03,1.620e-02,3.023e-02,1.840e-02,1.847e-02,-3.747e-03,1.126e-02,1.872e-02,1.162e-02,1.860e-02,2.729e-02,-2.747e-03,-9.678e-03,1.385e-02,1.372e-02,2.511e-02,5.270e-03,-1.721e-03,1.814e-02,-3.381e-03,-3.664e-03,4.507e-02,1.433e-02,-5.211e-03,4.528e-02,-1.000e-03,2.064e-02,2.267e-02,-3.983e-03,3.071e-02,-1.282e-02,2.813e-02,1.058e-02,-1.601e-03
