Parameter Constraint or Goal,Format,Unit,Initial Value,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7,Scenario 8,Scenario 9,Scenario 10,Scenario 11,Scenario 12,Scenario 13,Scenario 14,Scenario 15,Scenario 16,Scenario 17,Scenario 18,Scenario 19,Scenario 20,Scenario 21,Scenario 22,Scenario 23,Scenario 24,Scenario 25,Scenario 26,Scenario 27,Scenario 28,Scenario 29,Scenario 30,Scenario 31,Scenario 32,Scenario 33,Scenario 34,Scenario 35,Scenario 36,Scenario 37,Scenario 38,Scenario 39,Scenario 40,Scenario 41,Scenario 42,Scenario 43,Scenario 44,Scenario 45,Scenario 46,Scenario 47,Scenario 48,Scenario 49,Scenario 50,Scenario 51,Scenario 52,Scenario 53,Scenario 54,Scenario 55,Scenario 56,Scenario 57,Scenario 58,Scenario 59,Scenario 60,Scenario 61,Scenario 62,Scenario 63,Scenario 64,Scenario 65,Scenario 66,Scenario 67,Scenario 68,Scenario 69,Scenario 70,Scenario 71,Scenario 72,Scenario 73,Scenario 74,Scenario 75,Scenario 76,Scenario 77,Scenario 78,Scenario 79,Scenario 80,Scenario 81,Scenario 82,Scenario 83,Scenario 84,Scenario 85,Scenario 86,Scenario 87,Scenario 88,Scenario 89,Scenario 90,Scenario 91,Scenario 92,Scenario 93,Scenario 94,Scenario 95,Scenario 96,Scenario 97,Scenario 98,Scenario 99,Scenario 100
,,,,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Estimated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Estimated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated,Calculated
BB X Displacement,Monitor Only, m,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,Rebuild Error,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Simulation Eccentric Stiffness (3) fails.,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
BB Y Displacement,Monitor Only, m,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,Rebuild Error,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Simulation Eccentric Stiffness (3) fails.,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
BB Z Displacement,Monitor Only, m,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,Rebuild Error,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Simulation Eccentric Stiffness (3) fails.,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
BBR Y Displacement,Monitor Only, m,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,Rebuild Error,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Simulation Eccentric Stiffness (3) fails.,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
BBL Y Displacement,Monitor Only, m,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,Rebuild Error,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,Rebuild Error,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,Simulation Eccentric Stiffness (3) fails.,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
Min FS 1,Monitor Only,,4.797e-01,1.451e-01,5.896e-01,1.209e+00,5.923e-01,6.846e-01,2.938e-01,9.889e-01,7.929e-01,1.647e+00,2.520e-01,1.820e-01,1.717e-01,4.155e-01,Rebuild Error,9.361e-02,1.818e-02,6.803e-01,1.699e+00,4.540e-01,3.059e-01,3.444e-01,4.781e-01,1.658e-01,1.657e-01,1.285e-01,3.357e-01,2.605e-01,Rebuild Error,Rebuild Error,9.900e-01,Rebuild Error,4.483e-01,3.861e-01,4.294e-01,1.824e-01,4.009e-01,1.675e+00,2.859e-01,5.532e-01,3.676e-01,8.826e-01,6.147e-02,8.327e-01,3.934e-01,8.084e-02,5.005e-01,3.634e-01,3.246e-01,4.074e-01,2.902e-01,2.731e-01,3.463e-01,4.468e-01,1.846e-01,Rebuild Error,2.971e-01,7.888e-01,Rebuild Error,2.968e-01,3.775e-01,3.764e-01,3.014e-01,6.143e-01,2.815e-01,8.815e-01,3.104e-01,2.866e-01,4.245e-01,3.762e-01,2.515e-01,3.149e-01,Simulation Eccentric Stiffness (3) fails.,1.713e-01,1.783e-01,6.852e-01,4.269e-01,3.811e-01,5.013e-01,4.912e-01,1.279e+00,5.920e-01,5.183e-01,1.188e+00,7.666e-01,2.712e-01,5.804e-01,3.646e-01,2.778e-01,1.091e+00,1.874e-01,1.510e+00,1.531e+00,4.757e-01,1.009e+00,6.612e-02,6.890e-01,8.289e-01,4.027e-02,2.288e-01,1.042e-01
Max Stress 1,Monitor Only, N/m^2,9.589e+08,3.170e+09,7.802e+08,3.805e+08,7.766e+08,6.719e+08,1.566e+09,4.652e+08,5.802e+08,2.794e+08,1.826e+09,2.528e+09,2.679e+09,1.107e+09,Rebuild Error,2.938e+09,2.530e+10,6.762e+08,2.707e+08,1.013e+09,1.504e+09,1.336e+09,9.620e+08,2.775e+09,2.776e+09,3.579e+09,1.370e+09,1.766e+09,Rebuild Error,Rebuild Error,4.647e+08,Rebuild Error,1.026e+09,1.191e+09,1.071e+09,2.522e+09,1.148e+09,2.746e+08,1.609e+09,8.316e+08,1.251e+09,5.212e+08,7.483e+09,5.524e+08,1.169e+09,5.690e+09,9.191e+08,1.266e+09,1.417e+09,1.129e+09,1.585e+09,1.684e+09,1.328e+09,1.030e+09,2.492e+09,Rebuild Error,9.257e+08,5.832e+08,Rebuild Error,1.550e+09,1.218e+09,1.222e+09,1.526e+09,7.488e+08,1.634e+09,5.219e+08,1.482e+09,1.605e+09,1.084e+09,1.223e+09,1.829e+09,1.461e+09,Simulation Eccentric Stiffness (3) fails.,2.686e+09,2.580e+09,6.714e+08,1.077e+09,1.207e+09,9.176e+08,9.364e+08,3.598e+08,7.770e+08,8.874e+08,3.874e+08,6.001e+08,1.696e+09,7.925e+08,1.262e+09,1.656e+09,4.216e+08,2.454e+09,3.047e+08,3.005e+08,9.670e+08,4.561e+08,6.957e+09,6.677e+08,5.549e+08,1.142e+10,2.011e+09,4.416e+09
Min FS 3,Monitor Only,,1.471e+00,1.199e+00,4.896e-01,1.235e+00,7.408e-01,6.381e-01,7.908e-01,8.463e-01,6.786e-01,1.752e+00,6.882e-01,4.573e-01,4.613e-01,1.136e+00,Rebuild Error,2.614e-01,4.262e-02,8.398e-01,1.953e+00,1.371e+00,8.773e-01,9.701e-01,1.466e+00,3.143e-01,3.801e-01,3.331e-01,6.826e-01,5.699e-01,Rebuild Error,Rebuild Error,1.662e+00,Rebuild Error,1.222e+00,1.218e+00,1.000e+00,4.724e-01,1.040e+00,1.774e+00,8.087e-01,6.902e-01,1.036e+00,2.161e+00,1.106e-01,7.963e-01,9.995e-01,3.790e-02,1.751e+00,9.090e-01,1.150e+00,1.136e+00,8.235e-01,7.552e-01,8.953e-01,7.882e-01,4.853e-01,Rebuild Error,8.161e-01,1.004e+00,Rebuild Error,1.065e+00,9.734e-01,9.801e-01,9.231e-01,7.915e-01,8.485e-01,5.482e-01,9.289e-01,7.977e-01,1.159e+00,7.699e-01,6.780e-01,8.140e-01,Simulation Eccentric Stiffness (3) fails.,8.221e-01,4.988e-01,2.002e+00,7.274e-01,1.063e+00,1.393e+00,1.370e+00,1.976e+00,1.781e+00,1.441e+00,9.838e-01,5.658e-01,7.543e-01,1.262e+00,8.525e-01,6.485e-01,1.490e+00,4.995e-01,6.229e-01,1.767e+00,2.380e+00,8.688e-01,2.101e-01,2.030e+00,2.741e+00,4.908e-01,6.594e-01,3.054e-01
Max Stress 3,Monitor Only, N/m^2,3.127e+08,3.836e+08,9.396e+08,3.724e+08,6.210e+08,7.209e+08,5.817e+08,5.435e+08,6.779e+08,2.626e+08,6.684e+08,1.006e+09,9.971e+08,4.050e+08,Rebuild Error,1.052e+09,1.079e+10,5.478e+08,2.355e+08,3.356e+08,5.244e+08,4.742e+08,3.138e+08,1.464e+09,1.210e+09,1.381e+09,6.739e+08,8.072e+08,Rebuild Error,Rebuild Error,2.767e+08,Rebuild Error,3.764e+08,3.777e+08,4.599e+08,9.738e+08,4.423e+08,2.593e+08,5.688e+08,6.664e+08,4.440e+08,2.129e+08,4.158e+09,5.777e+08,4.602e+08,1.214e+10,2.627e+08,5.061e+08,3.999e+08,4.050e+08,5.586e+08,6.091e+08,5.138e+08,5.836e+08,9.478e+08,Rebuild Error,3.370e+08,4.584e+08,Rebuild Error,4.320e+08,4.726e+08,4.693e+08,4.983e+08,5.812e+08,5.422e+08,8.391e+08,4.952e+08,5.767e+08,3.970e+08,5.975e+08,6.784e+08,5.651e+08,Simulation Eccentric Stiffness (3) fails.,5.596e+08,9.223e+08,2.297e+08,6.324e+08,4.328e+08,3.301e+08,3.358e+08,2.328e+08,2.583e+08,3.191e+08,4.676e+08,8.130e+08,6.098e+08,3.644e+08,5.396e+08,7.093e+08,3.087e+08,9.210e+08,7.384e+08,2.603e+08,1.932e+08,5.294e+08,2.189e+09,2.266e+08,1.678e+08,9.373e+08,6.976e+08,1.506e+09
Mass,Monitor Only, kg,5.32,6.31,2.66,5.72,5.09,2.38,5.92,4.3,3.86,5.19,5.66,7.45,4.6,7.08,Rebuild Error,0.96,6.17,4.46,6.51,6.84,4.35,5.23,5.32,3,6.93,2.41,5.61,5.15,Rebuild Error,Rebuild Error,3.94,Rebuild Error,7.8,5.43,4.6,2.77,5.58,6.38,4.06,2.48,4.01,7.51,11.45,6.33,4.17,4.89,9.17,5.24,4.06,5.37,4.01,5.21,5.79,5.94,2.77,Rebuild Error,3.69,3.12,Rebuild Error,6.21,4.01,4.69,4.46,8.35,5.36,4,5.26,4.2,5.78,6.12,3.85,6.33,Simulation Eccentric Stiffness (3) fails.,5.88,2.79,12.54,5.63,5.21,5.65,8.74,8.87,15.74,7.63,4.89,2.56,3.55,3.02,3.97,4.91,4.35,4.09,5.56,3.09,10.55,2.17,6.27,3.38,10.15,3.95,8.75,4.49
