, CS Length, BB Drop, Stack, SS E, ST Angle, BB OD, TT OD, HT OD, DT OD, CS OD, SS OD, ST OD, CS F, HT LX, ST UX, HT UX, HT Angle, HT Length, ST Length, BB Length, Dropout Offset, SSB OD, CSB OD, Material, SSB Offset, CSB Offset, SS Z, SS Thickness, CS Thickness, TT Thickness, BB Thickness, HT Thickness, ST Thickness, DT Thickness, DT Length
1847,0.405,0.07,0.5656,0.045,74.0,0.04,0.03,0.03,0.03,0.023350000000000003,0.013000000000000001,0.03,0.015,0.049,0.0468,0.0384,73.0,0.1452,0.5968,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0007386316121023301,0.00398926174044218,0.001075701833196901,0.0007900421171561156,0.00334214306856135,0.008705792359283976,0.000971008675332591,0.6626517572137415
1848,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0008422543124986524,0.002095152075972984,0.0015455380183456756,0.008347267547128825,0.0024322765008396225,0.0006597104979497013,0.0006482315615110317,0.6536386402787728
1881,0.442,0.04,0.5656,0.045,73.8,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0444,0.0319,0.039700000000000006,71.0,0.15,0.5519,0.068,0.135,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0027664101958715386,0.0038110126433273947,0.0055908874599999705,0.0031834816993781658,0.0040762681259653094,0.005304092416687501,0.0010737367633788398,0.6891527492895897
1883,0.4981,0.07,0.5656,0.045,60.0,0.07,0.0431,0.075,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.046,0.046,0.0369,63.1,0.159,0.512,0.068,0.135,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.001226612147554926,0.0071274688851478175,0.0005543147528297215,0.0009706536521127515,0.0011860311202654393,0.0006416279773744868,0.0009276218456558118,0.6729126940485244
1886,0.4,0.0,0.5656,0.045,68.5,0.04,0.0327,0.045,0.03995,0.023350000000000003,0.0165,0.038,0.015,0.054700000000000006,0.0591,0.0322,67.1,0.125,0.35,0.068,0.13,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.001014939099956741,0.004984391755261128,0.0014759401031678831,0.008740882719902088,0.0025882835813965392,0.0009461218956198967,0.002441187375319545,0.5777253262794656
1887,0.387,0.054000000000000006,0.5656,0.05,76.5,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0698,0.047,0.043,74.5,0.1167,0.547,0.068,0.12,0.016,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.3,0.009000000000000001,0.0011484713785722056,0.001987677326271103,0.0028905110445799896,0.0013216180382072328,0.005113630794512982,0.00642438061299251,0.0014791820775346114,0.6348292299447988
1888,0.405,0.07,0.5656,0.045,75.5,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0358,0.015,0.0589,0.0448,0.038,81.0,0.1233,0.6648,0.068,0.12,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.00214947674680157,0.009754397165798923,0.0028298488490176407,0.0006989506335432474,0.0033433654802740983,0.0013420734266507645,0.0011260146761279748,0.6679642112251306
1895,0.38927,0.07,0.5656,0.045,77.5,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.053700000000000005,0.0473,0.0356,80.0,0.145,0.6102000000000001,0.068,0.12,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.009876435169533043,0.0008397938816066331,0.0019107049678076507,0.001194737312939826,0.0023176565646717104,0.0008037382735012879,0.0005003658237365651,0.6843806314960736
1898,0.405,0.07,0.5656,0.045,74.0,0.04,0.0286,0.045,0.0365,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0499,0.049,0.034,73.0,0.145,0.515,0.068,0.13,0.0,0.018000000000000002, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.0017355004292960927,0.0016585608139998936,0.00413179701076484,0.0005245356972604454,0.002553498595482315,0.007135292507644574,0.000814687182802405,0.6536386402787728
1902,0.4047,0.07,0.5656,0.03,73.5,0.04,0.0286,0.045,0.0375,0.023350000000000003,0.013000000000000001,0.0318,0.015,0.0501,0.1625,0.038,76.0,0.1806,0.7725,0.068,0.12,0.0,0.0, 6061-T6 (SS)@SOLIDWORKS Materials$SOLIDWORKS Materials|6061-T6 (SS)|164$C:/Program Files/SOLIDWORKS Corp/SOLIDWORKS/lang/english/sldmaterials/SOLIDWORKS Materials.sldmat|6061-T6 (SS)|164,0.33,0.35,0.009000000000000001,0.006032741481613617,0.0035370540259361967,0.0016922570922575893,0.004321887770874207,0.008683535511389767,0.0006655259689022343,0.0052500592245054364,0.6746021999085731
